# Zu löschende Zutaten (Vorschlag der AI)
# Lösche Zeilen für Zutaten, die du BEHALTEN willst
# Format: pk|name|description

1571|Datteln entsteint|Seeberger Datteln entsteint 200g - Seeberger - Datteln entsteint - TROCKENOBST (IND. VERP.)
1720|Veganer Camembert|Soft Rouge Camembert - MONDARELLA - Soft Rouge - VEGANE ARTIKEL GEKÜHLT - SB
1676|Wraps glutenfrei|Schär Wraps glutenfrei 160g - Schär - Wraps - BROT-U.BACKW.GLUTEN-/LAKTOSEFREI
4831|Margarine pflanzlich|Rama 100% Pflanzlich 250g - Rama - Die 100% Pflanzliche - MISCH- UND SPEISEFETT
4832|Schokolade Lotus Biscoff|Schogetten Lotus Biscoff  100g - Schogetten - Schogetten Lotus Biscoff - SCHOKOLADE BIS 100 G
4839|Schokoriegel Kokos Waffel|Knoppers Kokos Riegel 5x20g - Knoppers Nussriegel - Knoppers Kokos Riegel - SCHOKORIEGEL, MULTIS
1741|Thunfischsalat Toscana|Saupiquet MSC Thunfisch Salat Toscana 160g - Saupiquet RIO mare - Thunfisch Salat Dinkel und Gerste - THUNFISCH
1770|Schokomüsli glutenfrei Bio|REWE Frei von Bio Schokomüsli 400g - REWE frei von - Bio Schokomüsli - GLUTEN-/LAKTOSEFREIE ART. E-MWST
3754|Sahnejoghurt griechische Art|Ja! Joghurt griechische Art 10% 1000g - Ja! - Sahnejoghurt - NATURJOGHURT EINWEG
3939|Käseaufschnitt 3 Sorten|ja! Käseaufschnitt 250g - Ja! - Käseaufschnitt 3 Sorten - NATURKAESE SCHEIBEN - SB -
1816|Veganer Frischkäse Kräuter|Simply V Grill- & Pfannengenuss Mediterrane Kräuter vegan 150g - Simply V - Herbs italien style aus Mandel-Basis - VEGANE ARTIKEL GEKÜHLT - SB
1826|Vegane Käsescheiben nussig|Simply V Käsealternative vegane Genießerscheiben 150g - Simply V - Mild nussige Natur Genießerscheiben - VEGANE ARTIKEL GEKÜHLT - SB
3631|Käseaufschnitt|ja! Käseaufschnitt 250g - Ja! - Käse-Aufschnitt - NATURKAESE SCHEIBEN - SB -
4856|Fruchtjoghurt Mango-Ananas-Pfirsich|Danone Activia Mango-Ananas-Pfirsich 4x115g - Danone - Danone ACTIVIA® Ananas, Mango & Pfirsich 3,5% 4 x 115g = 460g - FRUCHTJOGHURT EINWEG
4857|Mehrkornbrötchen (Aufbackware)|BACK MICH MEHRKORN - LIEKEN URKORN - 5 Steinofen Brötchen Mehrkorn - Brötchen AufbackwareSB
4863|Sojajoghurt natur vegan|Alpro Soja-Joghurtalternative Natur vegan 500g - Alpro - Alpro Joghurtalternative auf Sojabasis, Natur, 500 g, 31 - Milchaltern.Frische
7266|Mozzarella-Minikugeln|
1832|Graved Wildlachs|REWE Feine Welt Sockeye Graved Wildlachs 100g - REWE Feine Welt - Sockeye Wildlachs - RAEUCHERFISCH - SB -
1893|Vegane Käsescheiben würzig|Simply V Käsealternative Genießerscheiben würzig vegan 150g - Simply V - Würzige Geniesserscheiben - VEGANE ARTIKEL GEKÜHLT - SB
4405|Schmelzkäse Toast Scheiben|ja! Schmelzkäse Toast 250g - Ja! - Schmelzkäse Toast - SCHMELZKAESE, SCHEIBEN - SB -
4412|Müsliriegel Kirsch-Cranberry-Joghurt zuckerfrei|KIRSCH CRANB. JOGHURT - CORNY FREE - Corny Free Kirsche-Cranberry-Joghurt - Müsliriegel Einzel
4283|Schupfnudeln|ja! Schupfnudeln 500g - Ja! - Schupfnudeln - FRISCHNUDELN - SB -
1913|Ricotta-Tortellini Bio|RICOTTA TORTELLINI BIO - D ANGELO - Tortellini Ricotta - gefüllte Teigwaren ungekühlt
7003|Geschmackspulver|
4495|Joghurt-Mousse Zitrone-Biskuit|Jog.Mousse Zitrone-Bis - Elinas - Joghurt Mousse Zitrone Biskuit-Geschmack - FRUCHTJOGHURT EINWEG
4871|Nordischer Schnittkäse mild Scheiben|Rücker Alter Schwede Mild 100g - Alter Schwede - Alter Schwede Nordisch Mild - NATURKAESE SCHEIBEN - SB -
4872|Keksriegel Oreo mit Milch|Oreo Fresh Milk Snack 4x30g PK - Oreo - Fresh Milk-Snack - KUEHLBEDUERFTIGE RIEGEL
4876|Porridge Apfel-Zimt (Instant)|Heisse Tasse Porridge Apfel mit Zimt 54g - Heisse Tasse - Porridge glück apfel und zimt - HAFERFLOCKEN
7030|Flavor Drops Vanille|
1850|Gefüllte Gnocchi|REWE Feine Welt gefüllte Gnocchi 400g - REWE Feine Welt - Gefüllte Gnocchi - KARTOFFELSPEZIALITÄT GEKÜHLT-SB
7043|Béchamelsauce|
7051|Scharfe Sauce Louisiana|
4879|Haferkekse Bites|De Beukelaer Cereola Hafer Bites 130g - De Beukelaer - De Beukelar Cereola Hafer-Bites - BUTTERKEKS-/KEKS
4880|High-Protein-Pudding Schoko-Kokos|Ehrmann High Pro. Pudd. Scho/Kokos 200g - High Protein Pudding - High protein choco coco - PUDDING/MILCHREIS
4883|High-Protein-Pudding Kaffee|Ehrmann High Protein Pudding Columbian Coffee 200g - High Protein Pudding - Columbian Coffee Pudding - PUDDING/MILCHREIS
1919|Lachstartar|REWE Feine Welt Lachstartar 100g - REWE Feine Welt - Lachstatar - RAEUCHERFISCH - SB -
4889|Käse Scheiben cremig 50%|Leerdammer Delacreme Scheiben 50% 125g - LRD - Delacrème - NATURKAESE SCHEIBEN - SB -
4905|Krautsalat Coleslaw|Homann Coleslaw Krautsalat Joghurt 375g - HOMANN - Homann Coleslaw Krautsalat - FERTIGSALATE (+DESSERT) - SB -
4896|Frischkäse Basilikum & Zitrone|BASILIKUM & ZITRONE - PHILADELPHIA - Philadelphia free to feel good basilic & citron - FRISCHKAESE - SB -
4897|Pudding Schoko mit Vanilleflecken (Kinder)|Dr. Oetker Paula Schokolade mit Vanille 4x125g - Dr. Oetker - Paula Pudding - Pudding/Milchreis
4907|Sauce Süß-Sauer extra Gemüse|Ben's Original Sauce süß-sauer extra Gemüse 400g - BEN'S ORIGINAL - Süß-Sauer extra Gemüse Sauce - REIS,KARTO.SAUCEN/RELISH/CHUTNEY
7097|Datteln|
4588|Kartoffeltopf mit Speck & Lauch (Fertiggericht)|Knorr Großmutters Geheimnis Deftiger Kartoffeltopf mit Speck & Lauch 600ml - Knorr - Deftiger Kartoffeltopf - TROCKENSUPPEN-BEUTEL/-PAECKCHE
4744|Kräuterbutter irisch|Kerrygold Original Irische Kräuterbutter 150g - KERRYGOLD - Original irische Kräuterbutter - BUTTERZUBEREITUNG
4817|Bratensauce (Fix Trocken)|Knorr Sauce Pur Bratensauce - Knorr - Sauce Pur Braten - FIX SAUCEN TROCKEN
7102|Saatenmischung|
2399|Konfitüre mit Stückchen|Schwartau Flockenfänger Beerenpunsch 340g - Schwartau - Flockenfänger - KONFITUEREN/MARMELADEN/GELEES
2793|Tofu Tomate-Olive Bio|Vantastic Foods Bio Tofu Tomate-Olive 200g - Vantastic foods - Tofu Bio Tomate-Olive - BIO SOJA
4922|Körniger Frischkäse Bio|Andechser Natur Körniger Bio-Frischkäse 200g - Unbranded - Körniger Bio-Frischkäse - FRISCHKAESE - SB -
4843|Snack-Möhren|KAROTTE SNACK RL - REWE REGIONAL - Snack Möhrrn aus dem Rheinland - KAROTTEN
4848|Instant-Nudeln Gulaschsauce|Knorr Pasta Snack Gulasch-Sauce 60g - Knorr - Pasta Snack Gulasch-Sauce - FERTIGGERICHTE INSTANT
2605|Haferflocken zart glutenfrei Bio|REWE frei von Haferflocken glutenfrei 500g - REWE frei von - Bio zarte Haferflocken - GLUTEN-/LAKTOSEFREIE ART. E-MWST
2629|Risotto-Reis|RISOTTO-REIS - RISO GALLO - Risotto Reis - REIS IM KOCHBEUTEL
2797|Nuss-Frucht-Mix|Rewe Nuss-Frucht mix 175g - REWE Beste Wahl - Nuss-Frucht-Mix - NUSS/FRUCHT MISCHUNG (IND.VERP.)
7224|Noriblatt|
6395|Vollmilchschokolade Noisette|Alpia Schokolade Noisette 100g - Alpia - noisette - SCHOKOLADE BIS 100 G
3106|Mini-Baguette glutenfrei|Schär Mini Baguette 150g - Schär - Mini Baguette - BROT-U.BACKW.GLUTEN-/LAKTOSEFREI
4928|Käse-Gebäckstangen|ja! Käse-Gebäckstangen 150g - Ja! - Käse Gebäck Stangen - Cräcker, Käse-, Reisgebäck
3352|Frühstücksmüsli Himbeer-Cranberry-Schoko|REWE to go Frühstücksmüsli Himbeer-Cranberry mit Schokoknuspermüsli 285g - Rewe to go - Frühstücksmüsli Himbeer-Cranberry mit Schoko-Knusper-Müsli - SOFORTV. SNACKS KALT CONV.GEK.
3452|Sonnenblumenbrot Bio|REWE Bio Sonnenblumenbrot 500g - REWE Bio - Brot mit Sonnenblumenkernen - KÖRNERBROT GESCHNITEN SB
3314|Gemüsemaultaschen|Settele Gemüsemaultaschen 300g - Settele - Gemüse-Maultaschen - FRISCHNUDELN - SB -
3616|Himbeerkonfitüre weniger Zucker|Schwartau Weniger Zucker Himbeere 300g - Schwartau - Himbeere extra weniger Zucker - KONFITUEREN/MARMELADEN/GELEES
4830|Löffelbiskuit|ja! Löffelbiskuit 400g - Ja! - Löffelbiskuit - Biskuit-/Eiergebäck
4976|Kaffeegebäck|KAFFEEGEBAECK - BRANDT - Kaffee-Gebäck - Butterkeks-/Keks
5172|Speisequark Magerstufe|ja! Speisequark Magerstufe 500g - Ja! - Speisequark Magerstufe - SPEISEQUARK/SCHICHTKÄSE/BROTAUFS
5390|Heringsfilets in Tomatencreme|ja! Heringsfilets in Tomatencreme 200g - Ja! - Heringfilets - HERINGS- U. MAKRELENFILETS
3474|Schinkenwürfel Bio|Abraham Bio Schinkenwürfel herzhaft 2x40g - Abraham - Bio Schinkenwürfel - ROHER SCHINKEN -SB- KUEHLBED.
3592|Joghurt ohne Zucker Erdbeer-Himbeer|Activia ohne Zucker Erdbeer+Himbeer 4x110g - Danone - Activia ohne Zuckerzusatz Erdbeere, Dattel Himbeeren - FRUCHTJOGHURT EINWEG
3602|Joghurtalternative pflanzlich Heidelbeere|Activia Pflanzlich Heidelbeere 400g - Danone - Danone ACTIVIA® 100% Pflanzlich Heidelbeere 400g - MILCHALTERN.FRISCHE
4875|Obazda Meerrettich ohne Kümmel|Alpenhain Obazda Meerrettich ohne Kümmel 125g - Alpenhain - Obazda Meerrettich ohne Kümmel - WEICHKAESE - SB -
3270|Schokobrezeln|Alpia Schoko Brezeln Vollmilch 140g - Alpia - Schoko Brezeln - SPEZIALI./KANDIERTE SCHOKO/PUF
4173|Soja-Quarkalternative Mango Kinder|Alpro Kids Mango Soya Altern 4X50g - Alpro - Mango pflanzliche Quarkalternative - MILCHALTERN.FRISCHE
4950|Fruchtgummi sauer Sterne vegan|Nimm2 Lachgummi Sauer Stars vegan 250g - nimm2 Lachgummi - Lach gummi sauer stars - FRUCHTGUMMI
4188|Schokopralinen Flakes & Crisp|Alpia Flakes & Crisp-Mais 150g - Alpia - Flakes e crisp mais - PRALINENAEHNLICHE PRODUKTE
5057|Sojajoghurt Vanille vegan|Alpro Soja-Joghurtalternative Vanille vegan 500g - Alpro - Vanille au Soja - MILCHALTERN.FRISCHE
5996|Haferjoghurt Vanille vegan|Alpro Vanille vegan 150g - Alpro - Danone ALPRO® Joghurt Vanille 150g - Milchaltern.Frische
1795|Mango-Ananas-Mix mit Kokos getrocknet|ANANAS-MANGO-KOKOSCHIP - Farmer's Snack - Mango-Ananas-Mix mit Kokoschips - TROCKENOBST (IND. VERP.)
4958|Erfrischungsstäbchen Cola-Zitrone|De Beukelaer Erfrischungs-Stix Cola-Zitrone 75g - De Beukelaer - Erfrischungs-Stix Cola-Zitrone - SPEZIALI./KANDIERTE SCHOKO/PUF
2557|Fruchtquark Mango-Vanille Bio|Andechser Natur Bio-Fruchtquark Mango-Vanille 450g - Andechser Natur - Bio-Fruchtquark Mango-Vanille - FRUCHTQUARK
3507|Joghurt Heidelbeere-Cassis Bio|Andechser Natur Bioland Jogurt Heidelbeere Cassis 500g - ANDECHSER NATUR - Naturjogurt Mild, Heidelbeere - BIO NATUR-/FRUCHTJOGHURT MEHRWEG
2695|Bergkäse Bio|Andechser Natur Bio Bergblumen Käse 125g - Andechser Natur - Bio-Bergblumenkäse - NATURKAESE SCHEIBEN - SB -
1536|Apfelstrudel (TK)|APFELSTRUDEL - COPPENRATH - Apfelstrudel - TK-TORTEN/KUCHEN
3610|Joghurtalternative Vanille vegan|Andros So Good So Veggie Joghurtalternative Vanille 400g - Andros - So good so veggie vanille - MILCHALTERN.FRISCHE
421|Marzipankartoffeln|ARKO EDELMARZIPAN KARTOFFELN - arko - Lübecker Marzipankartoffeln - WEIHN.-MARZIPAN
2099|Streichfett ungesalzen|Arla Kaergården ungesalzen 250g - Kærgården - Kærgården - ungesalzen - MISCH- UND SPEISEFETT
914|Azuki-Bohnen-Spaghetti|AZUKI BEAN SPAGHETTI - EDAMAMA - Azuki Bean Spaghetti - INT.TEIGWAREN / GLAS-,REISNUDE
3074|Spaghetti al Bronzo|Barilla Spaghetti al Bronzo 400g - Barilla - Spaghetti al bronzo - ITALIENISCHE TEIGWAREN
3111|Basmati-Reis (Express)|Ben's Original Express Basmati-Reis 250g - UNCLE BEN'S - Basmati-Reis - REIS-EXPRESS STANDBEUTEL
3124|Express-Reis Langkorn|Ben's Original Express Original-Spitzen-Langkorn-Reis 250g - UNCLE BEN'S - Express-Reis - Langkorn-Reis - REIS-EXPRESS STANDBEUTEL
3188|Express-Reis Curry-Linse|Ben's Original Express Curryreis mit Linsen 220g - UNCLE BEN'S - Express-Reis - Curryreis mit Linsen - REIS-EXPRESS STANDBEUTEL
1083|Vegane Trüffelmayo|bedda Trüffel Mayo vegan 250g - bedda - Trüffel Mayo - veganer Käseersatz gekühlt SB
1746|Vegane Aioli|Bedda Vegan Aioli 250g - bedda - Aioli vegan - VEGANE ARTIKEL GEKÜHLT - SB
1656|Weichkäse Biergarten|Bergader Almzeit Weichkäse Biergartenschmankerl 175g - Bergader Almzeit - Almzeit Biergartenschmankerl - WEICHKAESE - SB -
3547|Hähnchenbrust Paprika (Aufschnitt)|Bernard Matthews Oldenburg Hähnchenbrust-Filetstücke Paprika 150g - Bernard Matthews Oldenburg - Hähnchenbrust Filet pikant - FLEISCH CONVENIE.-GEFL.-SB-KUEBE
4971|Butterkekse Glücks-Mix|De Beukelaer Glücks Kex 150g - De Beukelaer - Glücks Kex - BUTTERKEKS-/KEKS
968|Bergbauernkäse|Bergbauern Käse Minilaib feinwürzig cremig 300g - Bergader Bergbauern - Bergbauern Käse - WEICHKAESE - SB -
905|Fruchtaufstrich Zitrus-Ingwer|BIO CITRUS-INGWER AUFS - FIORDIFRUTTA - Zitrus-Mix mit Ingwer - KONFITUEREN/MARMELADEN/GELEES
6604|Fruchtjoghurt Ananas|Ehrmann Almighurt Ananas 150g - Almighurt - Almighurt - Ananas - FRUCHTJOGHURT EINWEG
1153|Früchtemüsli Bio|Campo Verde demeter Bio Früchte Müsli 500g - Campo Verde - Früchte Müsli - MISCHMÜSLI
597|Schokokuchen (TK)|Conditorei Coppenrath & Wiese Cafeteria fein & sahnig Blechkuchen Schokolade 450g - Conditorei Coppenrath & Wiese -  - TK-TORTEN/KUCHEN
1302|Gojibeeren getrocknet Bio|Clasen Bio Gojibeeren 100g - CLASEN BIO - Gojibeeren - BIO NÜSSE/TROCKENFR.(IND.VERP.)
1958|Datteln Bio|Clasen Bio Datteln 200g - CLASEN BIO - Datteln - BIO NÜSSE/TROCKENFR.(IND.VERP.)
388|Bananentorte (TK)|Coppenrath & Wiese Meistertorte Banana Split 1,2kg - Conditorei Coppenrath & Wiese - Banana-Split-Torte - TK-TORTEN/KUCHEN
1159|Holunder-Zwetschgen-Konfitüre|Darbo Holler Zwetschge Konfitüre - DARBO - Holler Zwetschken Konfitüre - KONFITUEREN/MARMELADEN/GELEES
5576|Glasnudeln lang|Diamond Glasnudeln lang 100g - DIAMOND - Glasnudeln - INT.TEIGWAREN / GLAS-,REISNUDE
2566|Hafergebäck mit Rosinen|Dovgan Hafergebäck mit Rosinen 500g - Dovgan - Hafergebäck mit Rosinen - Butterkeks-/Keks
6003|Puddingpulver Vanille|Dr. Oetker Original Pudding Vanille Geschmack 3+1 Gratis 37g - Dr. Oetker - Puddingpulver - Vanillegeschmack - PUDDING- / DESSERTPULVER
2261|Hummus-Chips|Eat Real Hummus Chips Sea Salt 135g - Eat Real - Hummus chips - CHIPS UND STICKS
2220|Schwarze Oliven|Feinkost Dittmann Oliven Facon Grecque schwarz mit Stein & trocken eingelegt 230g - Feinkost Dittmann - Oliven Schwarze oliven - OLIVEN / KAPERN
5002|Schokopudding Milch (Kinder)|Zott Monte Maxi Schoko 4x100g - Zott Monte - Monte - Pudding/Milchreis
692|Tortellini Tomaten-Sahne (TK)|Frosta Tortellini Tomaten-Sahne 500g - FRoSTA - Tortellini Tomaten-Sahne - TK-FERTIGGERICHTE BEUTEL
1750|Vegane Filetstücke|Garden Gourmet Vegetarisches Hähnchenfilet 160g - GARDEN GOURMET - Vegane Filet-Stücken - VEGANE ARTIKEL GEKÜHLT - SB
4987|Scharfe Knacker|Wiesbauer scharfe Knacker aromaschutzverpackt 100g - Wiesbauer - Scharfe Knacker - BRUEHWURST KUEHLBED.-SB
1514|Hackbällchen (TK)|Iglo Green Cuisine Vegetarische Hackbällchen 240g - IGLO - Vegane Hackbällchen - TK-SNACKS
1521|Veganer Backfisch (TK)|Iglo Green Cuisine Ofen-Backfisch vegan 240g - IGLO - veganer Ofen-&quot;Backfisch&quot; - TK-SNACKS
3255|Saftschinken salzreduziert|Herta Saftschinken salzreduziert 100g - Herta GmbH - Saftschinken - KOCHSCH./GEG.POEKELPR.KUEHL-SB
3298|Hummus Shakshuka|HUMMUS SHAKSHUKA - DELI DIP - Hummus Shakshuka - FEINKOST BROTAUFSTRICH
3275|Wok-Gemüsemix Asia (TK)|Iglo Gemüse Ideen Asia Wok Mix 480g - IGLO - Wok Mix Asia Art - TK-GEMUESEMISCHUNGEN
4473|Babybrei Nudeln Wildlachs-Kräuterrahm|Hipp Bio Nudeln mit Wildlachs in Kräuter-Rahmsauce 250g - HiPP - Menü Nudeln mit Wildlachs in Kräuterrahmsosse - BABY MENUES (GLAS/SCHALE) E-MWST
3916|Emmentaler gerieben|ja! Geriebener Emmentaler 45% Fett 250g - Ja! - Geriebener Emmentaler - Reibekäse
4483|Babybrei Spaghetti Bolognese Bio|Hipp Bio Spaghetti Bolognese ab 12. Monat 250g - HiPP - Spaghetti Bolognese - BABY MENUES (GLAS/SCHALE) E-MWST
4549|Strudelteig frisch|Henglein Frischer Strudelteig 300g - Henglein - Frischer Strudelteig Filo- oder Yufkateig - FERTIGTEIG GEKUEHLT
4999|Schokolade Oreo Erdbeer|OREO SANDWICH ERDBEER - MILKA - Oreo Erdbeergeschmack - SCHOKOLADE BIS 100 G
4692|Hähnchenaufschnitt Tomate-Basilikum|Herta Finesse Hähnchenfleisch Tomate Basilikum 100g - Herta - Finesse Mageres Hähnchenfleisch mit Tomate und Basilikum - KOCHSCH./GEG.POEKELPR-GEF-KUE SB
4560|Fruchtgummi Kirsche Sticks|Haribo Fruchtgummi Balla Stixx Kirsche 200g - Haribo - Balla Stixx (Kirsche) - Fruchtgummi
5034|Bratkartoffeln mit Zwiebeln|ja! Bratkartoffeln mit Zwiebel 400g - Ja! - Bratkartoffeln mit Zwiebeln - KARTOFFELPUFFER/BRATKARTOFFELN
5373|Lebkuchenherzen gefüllt Zartbitter|Henry Lambertz gefüllte Lebkuchen-Herzen zartbitter 150g - Henry Lambertz - Gefüllte Lebkuchenherzen Zartbitter - LEBKUCHEN
5439|Heringsfilets Sweet Onion|HERINGF.SWEET ON. MSC - APPEL - Fisch Zarte Filets vom Hering - Sweet Onion - HERINGS- U. MAKRELENFILETS
5492|Seitan-Aufschnitt klassisch vegan|Grüngold Seitan cooked-Aufschnitt vegan 100g - GrünGold Seitan Aufschnitt cooked - Seitan Aufschnitt klassisch - veganer Wurstersatz gekühlt SB
5775|Fruchtgummi Grüne Krokodile sauer|Haribo Fruchtgummi Grüne Krokodile Sauer Veggie 200g - Haribo - Grüne Krokodile Sauer - FRUCHTGUMMI
5004|Käse Scheiben herzhaft|Leerdammer Feine Scheiben herzhaft 100g - LRD - Leerdammer® Feine Scheiben zart-würzig - NATURKAESE SCHEIBEN - SB -
5007|Porridge Kokos Banane-Erdbeere (Instant)|Heisse Tasse Porridge Kokos Banane-Erdbeere 54g - Heisse Tasse - Porridge Glück - HAFERFLOCKEN
5009|Schokolade Nougat|Schogetten Schokolade Nugat  100g - Schogetten - Schogetten originals: Nugat - SCHOKOLADE BIS 100 G
614|Cerealien Frosties|Kellogg's Frosties Cerealien 700g - Kellogg's - Frosties - Cornflakes
5017|Waffeln edelherb|Bahlsen Ohne Gleichen edelherb 125g - Bahlsen - Praline Squares Dark - Waffeln
5552|Kokosjoghurt Kirsche vegan|KOKOS KIRSCHE - MOEVENPICK - Pflanzlich aus Kokosmilch - Milchaltern.Frische
1730|Burgerkäse Cheddar|Kerrygold Burger Cheddar 150g - KERRYGOLD - irischer Burger Cheddar herzhaft - NATURKAESE SCHEIBEN - SB -
5599|Rahmblumenkohl (TK)|ja! Rahm-Blumenkohl mild gewürzt 500g - Ja! - Rahmblumenkohl - TK-KOHLGEMUESE
2641|Gulasch mit Nudeln (Fertiggericht)|ja! Schlemmergulasch in Sauce mit Nudeln und Gemüse 480g - Ja! - ja! Schlemmer-Gulasch in Sauce mit Nudeln und Gemüse - FERTIGGERICHTE SCHALEN
2462|Kartoffeltaschen Spinat-Mozzarella (TK)|ja! Kartoffeltaschen Spinat Mozzarella 600g - Ja! - Kartoffeltaschen Spinat Mozerella - TK-KROKETTEN/K-KNOEDEL/-PUFFER
3031|Sonntagsbrötchen (Fertigteig)|Knack & Back Sonntagsbrötchen 400g - Knack&Back - Sonntags Brötchen - FERTIGTEIG GEKUEHLT
2848|Putengeschnetzeltes mit Spätzle (Fertiggericht)|ja! Putengeschnetzeltes mit Spätzle und Gemüse 480g - Ja! - Puten-Geschnetzeltes - FERTIGGERICHTE SCHALEN
5023|Quiche- und Tarteteig frisch|Tante Fanny Frischer Quiche- und Tarteteig 300g - Tante Fanny - Quiche & Tarteteig - FERTIGTEIG GEKUEHLT
5030|Pudding Schoko-Vanille Doppeldecker|Müller Doppeldecker Schoko & Vanilla 4x125g - MÜLLER - Pudding &quot;Schoko-Vanille&quot; - Pudding/Milchreis
3040|Zimtschnecken (Fertigteig) vegan|Knack & Back Zimtschnecken vegan 290g - KNACK & BACK - Zimtschnecken - FERTIGTEIG GEKUEHLT
3097|Mehrkornbrötchen (Fertigteig)|Knack & Back Mehrkornbrötchen 310g - Knack&Back - Knack&Back Mehrkornbrötchrn - FERTIGTEIG GEKUEHLT
3303|Ofenkäse würzig|ja! Ofenkäse würzig 180g - Ja! - Kleiner Käse für den Ofen - KÄSE FÜR WARME VERWENDUNG
5038|Russisch-Ei-Salat|Homann Russisch Ei 200g - HOMANN - Russisch-Ei - FERTIGSALATE (+DESSERT) - SB -
5044|Nordischer Schnittkäse pikant Scheiben|Rücker Alter Schwede pikant Scheiben 50% 100g - Alter Schwede - Alter Schwede - NATURKAESE SCHEIBEN - SB -
4714|Linseneintopf mit Schweinefleisch (Dose)|ja! Linseneintopf mit Schweinefleisch 800g - Ja! - Linseneintopf - SUPPEN UND EINTÖPFE 427-850ML
5094|Instant-Nudeln Tomatensauce|Knorr Pasta Snack Tomaten-Sauce 69g - Knorr - Knorr Pasta Snack Tomatensauce - FERTIGGERICHTE INSTANT
5052|Kräuterbutter Portionen|ja! Kräuterbutter Portionen 6x20g - Ja! - Kräuterbutter - BUTTERZUBEREITUNG
5377|Heringssalat mit Roter Bete und Apfel|ja! MSC Delikatess Heringssalat mit Roter Bete, Gurke und Apfel 250g - Ja! - Delikatess Heringssalat - HERINGE/-FILETS/MATJES - SB -
5371|Sauce Hollandaise|ja! Sauce Hollandaise 340g - Ja! - Sauce Hollandaise 8% Butter - HOLLAND-/BERNAISE-/PFANNENSAUCEN
5472|Kräutersauce (Fix Trocken)|Knorr Kräuter Soße 3x250ml - Knorr - Kräuter Sosse - FIX SAUCEN TROCKEN
5061|Vollkorn-Tortillas|REWE Beste Wahl Vollkorn Tortillas 432g - REWE Beste Wahl - Tortilla - WRAPS/TORTILLAS AUFBACKWAREN SB
5066|Pizzakäse gerieben|Kerrygold Pizzakäse gerieben 150g - KERRYGOLD - Pizzakäse - Reibekäse
5071|Babybrei Erdbeere-Himbeere-Apfel Bio|Hipp Bio Erdbeere mit Himbeere in Apfel 190g - HiPP - Erdbeere mit Himbeere in Apfel  ( Nach dem 4. Monat ) - BABY FRUECHTE GLAS/SCHALE
5074|Instant-Kartoffelbrei Röstzwiebeln|KART.BREI ROESTZW.+25% - MAGGI 5 MINUT - Kartoffelbrei - FERTIGGERICHTE INSTANT
5755|Vollmilchjoghurt natur|ja! Vollmilch-Joghurt 4x150g - Ja! - Joghurt - NATURJOGHURT EINWEG
5830|Nudeln Parmesana (Fertiggericht Trocken)|Knorr Spaghetteria Parmesana 166g - Knorr - Spiralli Formagiana in milder Käsesauce - FERTIGGERICHTE TROCKEN TEIGWAR
5984|Fix Hackfleisch Jäger Art|Knorr Fix Hackfleisch Jäger-Art 36g - Knorr - Fix Hackfleisch Jäger Art - FIXE PULVER / TROCKEN
6070|Speisequark 20%|ja! Speisequark 20% Fett i. Tr. 250g - Ja! - Speisequark 20 % Fett i. Tr. - SPEISEQUARK/SCHICHTKÄSE/BROTAUFS
6086|Silberzwiebeln (Glas)|ja! Silberzwiebeln 190g - Ja! - Silberzwiebeln - SONSTIGE SAUERKONSERVEN
3950|Vegane Streichwurst Apfel-Zwiebel|Rügenwalder Mühle Vegane Pommersche Apfel und Zwiebel 125g - Veg. Pommersche - Vegane Pommersche Apfel und Zwiebel - VEGANE ARTIKEL GEKÜHLT - SB
6092|Schokoriegel KitKat Chunky|KitKat Chunky Schokoriegel Milchschokolade 40g - NESTLE - KitKat Chunky - SCHOKORIEGEL, EINZEL
5092|Putenbrust mit Honig|Herta Finesse Putenbrust mit Honig 100g - Herta GmbH - Finesse Putenbrust mit Honig - KOCHSCH./GEG.POEKELPR-GEF-KUE SB
4054|Fruchtaufstrich Heidelbeere|REWE Feine Welt Fruchtaufstrich Kanadische Heidelbeere 250g - REWE Feine Welt - Heidelbeere Fruchtaufstrich - KONFITUEREN/MARMELADEN/GELEES
5095|Schokoladenpralinen (Oster)|SWEET DREAMS MINIS - FEODORA - Sweet dreams - OSTER-SPEZIALITÄTEN
859|Mousse au Chocolat Schokolade|Lindt Schokolade Mousse au Chocolat Milch 140g - LINDT - Mousse au Chocolat Milch - SCHOKOLADE UEBER 100 G
4064|Dinkel-Vollkornmehl|Schapfen Mühle Dinkel-Vollkornmehl 1kg - Schapfenmühle - Dinkel Vollkornmehl - DINKEL- ROGGEN- SPEZIALMEHL
5109|Fruchtgummi YoBolde|nimm2 Lachgummi YoBolde 250g - nimm2 Lachgummi - Lach gummi YoBolde - FRUCHTGUMMI
5115|Fruchtgummi Gartenzwerge|Nimm2 Lachgummi Gartenzwerge 200g - nimm2 Lachgummi - Nimm2 - Fruchtgummi
920|Dunkle Schokolade Mousse|Lindt Edelbitter Blaubeere Lavendel 150g - LINDT - Edelbitter Mousse - Blaubeer-Lavendel - SCHOKOLADE UEBER 100 G
5140|Pudding Vanille mit Schokoflecken Mini (Kinder)|Dr. Oetker Paula minis Vanille mit Schoko 8x50g - Dr. Oetker - Paula minis parfum vanille - PUDDING/MILCHREIS
5141|Braune Leinsaat geschrotet Bio|Davert Bio Braune Leinsaat geschrotet 200g - Davert - Braune Leinsaat geschrotet - GETREIDE, ÖL UND KEIMSAATEN
